cid,text,time,author,channel,votes,replies,photo,heart,time_parsed,video_url
Ugze9G_8coOK_5w4I1N4AaABAg.8vrGSOeK3IZATCD0rQcR9d,اقرأ القرآن الكريم,2 weeks ago,@AhmedEid-k8o,UCG5_zu3O9EIF7xD7U0sb9mw,0,,https://yt3.ggpht.com/ytc/AIdro_n2udBzeYBteVO94AOvACDKqyHN4sBTqV2YenVzO3Y2Ic5h7sd9c1UhQi-g7V9kvb_L3A=s88-c-k-c0x00ffffff-no-rj,False,1771057560.760116,https://www.youtube.com/watch?v=INIG636SnU4
UgzEtJ7FMCWjLsq213x4AaABAg.AMR5eDb0C97ARRxbbIUo1U,That’s what happened when you learning your religion in a very proper way and very accurate facts trough Alquran that were shares to all of muslim in the world.. besides muslim uphold a consistent knowledge about god and jesus with a proof n even never live in denial.... that things were wrapping in a very beautiful understanding as a whole..,1 month ago,@fairuzparman9888,UCdg7giA9_hJLFDSDH54uePA,5,,https://yt3.ggpht.com/ytc/AIdro_kHQvndVoWdhF_WjfQNSIsXYuxGudrayqjq1qA4WNYLmNE=s88-c-k-c0x00ffffff-no-rj,False,1769588760.956682,https://www.youtube.com/watch?v=INIG636SnU4
UgzEtJ7FMCWjLsq213x4AaABAg.AMR5eDb0C97ATVQlweTccK,Not a competition brotha but yea he’s well spoken,6 days ago,@tylerbrown5889,UC5CA6gzq3LBHbEEH_67mBOQ,0,,https://yt3.ggpht.com/ytc/AIdro_lODRjdDwtAi8Ej9gzLC11RNsZOKdhYPiVr6U68CdtDGA=s88-c-k-c0x00ffffff-no-rj,False,1771748760.958347,https://www.youtube.com/watch?v=INIG636SnU4
UgzEtJ7FMCWjLsq213x4AaABAg.AMR5eDb0C97ANvlhrGSpHL,As a Muslim would say,4 months ago,@ddy9203,UCqOtfAf-435_IiVGIMlccMg,1,,https://yt3.ggpht.com/ovLuAcBdmeN3kVNVFubozWhsR2oZTCG-8BBUA29Xt3YpRXXn3C-pHNPjGdgmwekg1nZ-p19l=s88-c-k-c0x00ffffff-no-rj,False,1761639960.960755,https://www.youtube.com/watch?v=INIG636SnU4
UgzEtJ7FMCWjLsq213x4AaABAg.AMR5eDb0C97AO9-eQv47Kl,​ @ddy9203 As a neutral would say,4 months ago,@mrhello5273,UCrQoHJU-AX-DRGVRTpnIzVw,12,,https://yt3.ggpht.com/ytc/AIdro_nO5_AnrR5wC3yikrkeRVMEqqK2JYLnvMQub5cKxd-mCQNDacSpJv5wGRkTMh4pgO6TqQ=s88-c-k-c0x00ffffff-no-rj,False,1761639960.963153,https://www.youtube.com/watch?v=INIG636SnU4
UgyNdk4pLQb-xkd8Kll4AaABAg.9FeXhfeHYoS9GXMalTh3yu,"Believe it or not, this is exactly what our religion is, except we never had the opportunity to show it, because that would make fall appart what the media agenda's been building for many years. Read about islam. and watch out of ressources, some haters have access to keyboards and type nonsense to cover the truth.",5 years ago,@samiriraqui750,UCWr7k7YIREiEn_8RJe2oNjg,16,,https://yt3.ggpht.com/ytc/AIdro_laNuePW0HLZJL7uM_H_0RAEnyq87OO9TOiyR0xt6U=s88-c-k-c0x00ffffff-no-rj,False,1614500761.162311,https://www.youtube.com/watch?v=INIG636SnU4
UgyNdk4pLQb-xkd8Kll4AaABAg.9FeXhfeHYoS9H0y_NBBBrY,Kindly download Qur'an translation app and benefit with the message of God,5 years ago,@shahabaztly8517,UC3T8Lyj64Sw6BASwGsOSJIQ,0,,https://yt3.ggpht.com/ytc/AIdro_lLZ6R1ypnxNDpwS1wlbQEi5kCxPJNk2DAZw3ucTgektg=s88-c-k-c0x00ffffff-no-rj,False,1614500761.164032,https://www.youtube.com/watch?v=INIG636SnU4
Ugy_Ur655LTQ52ajtQJ4AaABAg.8q2fxPLfUK-8rcYL5Ty9RB,Savvy Accounts he's following Islam like the Prophet (pbuh) has instructed us to do - to seek knowledge and present yourself with humility. Peace 😊,7 years ago,@mehbubulalam7889,UCNG19_qO_li0vmGDksvjTWA,976,,https://yt3.ggpht.com/ytc/AIdro_lYSTTtQwcfFH8fNtUGJ3CM03swuP7LAgMJwsxCPFE34RQ=s88-c-k-c0x00ffffff-no-rj,False,1551342361.458982,https://www.youtube.com/watch?v=INIG636SnU4
Ugy_Ur655LTQ52ajtQJ4AaABAg.8q2fxPLfUK-9DiERh7_C2U, @mehbubulalam7889  Amin to that brother.,5 years ago,@Cody_Oberg,UCmXQfBKPcnDWaOSHpPE3Cgw,10,,https://yt3.ggpht.com/pmXg-51To5-5P_EqEfLY75acoxAGVSzJnfbuVCNokhLDrNlBvgWvjqUBJwPMpveHcPhyhaFY=s88-c-k-c0x00ffffff-no-rj,False,1614500761.461875,https://www.youtube.com/watch?v=INIG636SnU4
Ugy_Ur655LTQ52ajtQJ4AaABAg.8q2fxPLfUK-9JRqi4pyrBy, @mehbubulalam7889  I have never been so touched by a statement. Seek knowledge and preset you’re self in humility.,5 years ago (edited),@stygiangirl2717,UCAukCwDA6P8csX8ZrHu18Rw,10,,https://yt3.ggpht.com/ytc/AIdro_kdlJlSIOig3Gn0waZ4aQUNSmHBiyobsuANRo-Mpw=s88-c-k-c0x00ffffff-no-rj,False,1614500761.464276,https://www.youtube.com/watch?v=INIG636SnU4
